amfi_code,stock_symbol,stock_name,sector,weight_pct,market_value_cr,current_price_inr,portfolio_date
102887,INFY,INFOSYS LTD,IT,10.14,512.93,3567.17,2025-12-31
102887,SBIN,STATE BANK OF INDIA,BANKING,8.37,1660.53,768.79,2025-12-31
102887,HDFCBANK,HDFC BANK LTD,BANKING,5.85,436.89,3243.62,2025-12-31
102887,M&M,MAHINDRA & MAHINDRA LTD,AUTOMOBILE,4.77,1593.15,7144.77,2025-12-31
102887,MARUTI,MARUTI SUZUKI INDIA LTD,AUTOMOBILE,4.66,1455.73,4842.0,2025-12-31
102887,ADANIPORT,ADANI PORTS & SEZ LTD,INFRASTRUCTURE,4.07,1193.53,3304.74,2025-12-31
118632,BHARTIARTL,BHARTI AIRTEL LTD,TELECOM,30.44,1574.52,6271.17,2025-12-31
118632,NESTLEIND,NESTLE INDIA LTD,FMCG,13.33,857.97,1607.57,2025-12-31
118632,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES,PHARMA,12.5,1293.86,5022.73,2025-12-31
118632,GRASIM,GRASIM INDUSTRIES LTD,DIVERSIFIED,11.98,599.35,7649.77,2025-12-31
118632,ICICIBANK,ICICI BANK LTD,BANKING,10.91,725.38,4476.73,2025-12-31
118632,DIVISLAB,DIVI'S LABORATORIES,PHARMA,9.85,1069.59,7863.69,2025-12-31
118632,HDFCBANK,HDFC BANK LTD,BANKING,6.57,1774.48,398.27,2025-12-31
118632,ADANIPORT,ADANI PORTS & SEZ LTD,INFRASTRUCTURE,4.44,719.2,2224.5,2025-12-31
118633,AXISBANK,AXIS BANK LTD,BANKING,20.73,1703.38,6184.87,2025-12-31
118633,WIPRO,WIPRO LTD,IT,14.41,681.49,1451.32,2025-12-31
118633,TITAN,TITAN COMPANY LTD,CONSUMER GOODS,12.43,1593.88,3276.69,2025-12-31
118633,HCLTECH,HCL TECHNOLOGIES LTD,IT,11.14,1999.5,2556.23,2025-12-31
118633,DIVISLAB,DIVI'S LABORATORIES,PHARMA,10.94,863.48,2546.04,2025-12-31
118633,BAJFINANCE,BAJAJ FINANCE LTD,NBFC,9.38,442.46,920.38,2025-12-31
118633,INDUSINDBK,INDUSIND BANK LTD,BANKING,5.4,501.53,3746.36,2025-12-31
118633,KOTAKBANK,KOTAK MAHINDRA BANK,BANKING,4.59,1071.93,5455.62,2025-12-31
118633,HINDUNILVR,HINDUSTAN UNILEVER LTD,FMCG,4.25,550.74,317.36,2025-12-31
118633,HDFCBANK,HDFC BANK LTD,BANKING,3.46,1623.67,4895.39,2025-12-31
118633,M&M,MAHINDRA & MAHINDRA LTD,AUTOMOBILE,3.27,755.82,2168.75,2025-12-31
118634,NESTLEIND,NESTLE INDIA LTD,FMCG,13.59,1354.21,7435.21,2025-12-31
118634,WIPRO,WIPRO LTD,IT,12.32,962.56,3849.96,2025-12-31
118634,TITAN,TITAN COMPANY LTD,CONSUMER GOODS,12.26,1344.96,4192.5,2025-12-31
118634,AXISBANK,AXIS BANK LTD,BANKING,11.75,1855.52,5167.42,2025-12-31
118634,HINDUNILVR,HINDUSTAN UNILEVER LTD,FMCG,11.64,64.71,7810.17,2025-12-31
118634,ADANIPORT,ADANI PORTS & SEZ LTD,INFRASTRUCTURE,9.9,538.23,3625.67,2025-12-31
118634,ULTRACEMCO,ULTRATECH CEMENT LTD,CEMENT,8.68,784.14,1362.25,2025-12-31
118634,INDUSINDBK,INDUSIND BANK LTD,BANKING,8.64,919.11,1123.63,2025-12-31
118634,MARUTI,MARUTI SUZUKI INDIA LTD,AUTOMOBILE,8.09,418.49,1132.14,2025-12-31
118634,BHARTIARTL,BHARTI AIRTEL LTD,TELECOM,3.13,1508.16,7745.28,2025-12-31
118635,SBIN,STATE BANK OF INDIA,BANKING,17.85,1142.64,1403.66,2025-12-31
118635,TCS,TATA CONSULTANCY SERVICES,IT,15.83,740.95,6309.28,2025-12-31
118635,ASIANPAINT,ASIAN PAINTS LTD,PAINTS,14.28,1471.49,1563.4,2025-12-31
118635,ULTRACEMCO,ULTRATECH CEMENT LTD,CEMENT,14.01,925.24,3562.88,2025-12-31
118635,HCLTECH,HCL TECHNOLOGIES LTD,IT,13.45,1306.84,7309.59,2025-12-31
118635,WIPRO,WIPRO LTD,IT,10.07,1410.83,3004.71,2025-12-31
118635,BAJFINANCE,BAJAJ FINANCE LTD,NBFC,8.39,1806.09,5326.12,2025-12-31
118635,TITAN,TITAN COMPANY LTD,CONSUMER GOODS,6.11,378.83,7044.44,2025-12-31
119092,INFY,INFOSYS LTD,IT,38.18,1254.8,3939.8,2025-12-31
119092,HINDUNILVR,HINDUSTAN UNILEVER LTD,FMCG,15.87,1290.15,2020.0,2025-12-31
119092,ICICIBANK,ICICI BANK LTD,BANKING,10.79,886.68,5998.85,2025-12-31
119092,HCLTECH,HCL TECHNOLOGIES LTD,IT,10.51,1205.58,300.95,2025-12-31
119092,DIVISLAB,DIVI'S LABORATORIES,PHARMA,8.1,501.88,3725.98,2025-12-31
119092,NTPC,NTPC LTD,UTILITIES,4.49,1150.86,1288.77,2025-12-31
119092,LT,LARSEN & TOUBRO LTD,INFRASTRUCTURE,4.24,1507.25,4031.77,2025-12-31
119092,ADANIPORT,ADANI PORTS & SEZ LTD,INFRASTRUCTURE,3.55,1203.07,1713.52,2025-12-31
119092,KOTAKBANK,KOTAK MAHINDRA BANK,BANKING,3.27,98.07,2259.4,2025-12-31
119092,GRASIM,GRASIM INDUSTRIES LTD,DIVERSIFIED,0.99,1860.16,3418.45,2025-12-31
119093,BAJFINANCE,BAJAJ FINANCE LTD,NBFC,20.22,622.91,489.5,2025-12-31
119093,HCLTECH,HCL TECHNOLOGIES LTD,IT,16.39,257.93,5191.92,2025-12-31
119093,SBIN,STATE BANK OF INDIA,BANKING,14.79,1790.66,6968.5,2025-12-31
119093,LT,LARSEN & TOUBRO LTD,INFRASTRUCTURE,10.68,1798.71,1324.49,2025-12-31
119093,DIVISLAB,DIVI'S LABORATORIES,PHARMA,10.52,1393.54,2861.09,2025-12-31
119093,WIPRO,WIPRO LTD,IT,10.28,483.92,1252.99,2025-12-31
119093,AXISBANK,AXIS BANK LTD,BANKING,6.64,351.2,6889.63,2025-12-31
119093,BHARTIARTL,BHARTI AIRTEL LTD,TELECOM,4.36,827.15,3058.71,2025-12-31
119093,ASIANPAINT,ASIAN PAINTS LTD,PAINTS,3.55,600.22,7652.31,2025-12-31
119093,MARUTI,MARUTI SUZUKI INDIA LTD,AUTOMOBILE,2.57,342.31,812.36,2025-12-31
119094,HINDUNILVR,HINDUSTAN UNILEVER LTD,FMCG,23.17,252.39,396.01,2025-12-31
119094,MARUTI,MARUTI SUZUKI INDIA LTD,AUTOMOBILE,14.67,316.62,5747.11,2025-12-31
119094,ASIANPAINT,ASIAN PAINTS LTD,PAINTS,13.67,800.06,3809.11,2025-12-31
119094,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES,PHARMA,11.0,1619.58,6315.88,2025-12-31
119094,HDFCBANK,HDFC BANK LTD,BANKING,10.59,1966.9,5933.86,2025-12-31
119094,ADANIPORT,ADANI PORTS & SEZ LTD,INFRASTRUCTURE,7.97,1508.82,7454.9,2025-12-31
119094,SBIN,STATE BANK OF INDIA,BANKING,7.59,1133.74,3188.56,2025-12-31
119094,CIPLA,CIPLA LTD,PHARMA,7.47,1148.78,6033.63,2025-12-31
119094,LT,LARSEN & TOUBRO LTD,INFRASTRUCTURE,3.88,1400.9,5764.34,2025-12-31
119095,HINDUNILVR,HINDUSTAN UNILEVER LTD,FMCG,17.8,1897.51,5641.17,2025-12-31
119095,ADANIPORT,ADANI PORTS & SEZ LTD,INFRASTRUCTURE,16.75,240.66,1689.13,2025-12-31
119095,WIPRO,WIPRO LTD,IT,10.69,1606.74,4843.32,2025-12-31
119095,ULTRACEMCO,ULTRATECH CEMENT LTD,CEMENT,7.98,587.38,1128.83,2025-12-31
119095,M&M,MAHINDRA & MAHINDRA LTD,AUTOMOBILE,7.76,1468.69,5378.47,2025-12-31
119095,TATAMOTOR,TATA MOTORS LTD,AUTOMOBILE,7.7,329.49,2449.17,2025-12-31
119095,INFY,INFOSYS LTD,IT,7.67,68.79,5423.86,2025-12-31
119095,BHARTIARTL,BHARTI AIRTEL LTD,TELECOM,7.07,215.32,5510.02,2025-12-31
119095,POWERGRID,POWER GRID CORPORATION,UTILITIES,5.91,1132.46,1972.37,2025-12-31
119095,TCS,TATA CONSULTANCY SERVICES,IT,5.89,1038.06,269.84,2025-12-31
119095,AXISBANK,AXIS BANK LTD,BANKING,4.77,1618.05,459.87,2025-12-31
119551,HCLTECH,HCL TECHNOLOGIES LTD,IT,18.22,177.35,6024.13,2025-12-31
119551,BHARTIARTL,BHARTI AIRTEL LTD,TELECOM,13.94,452.19,5013.45,2025-12-31
119551,POWERGRID,POWER GRID CORPORATION,UTILITIES,13.85,737.09,6011.08,2025-12-31
119551,HDFCBANK,HDFC BANK LTD,BANKING,11.19,88.97,1074.65,2025-12-31
119551,ASIANPAINT,ASIAN PAINTS LTD,PAINTS,10.25,725.9,1321.45,2025-12-31
119551,GRASIM,GRASIM INDUSTRIES LTD,DIVERSIFIED,9.9,208.45,5964.59,2025-12-31
119551,NTPC,NTPC LTD,UTILITIES,7.48,897.7,2913.66,2025-12-31
119551,MARUTI,MARUTI SUZUKI INDIA LTD,AUTOMOBILE,7.2,1982.33,5461.85,2025-12-31
119551,DRREDDY,DR. REDDY'S LABORATORIES,PHARMA,4.76,161.32,3748.82,2025-12-31
119551,DIVISLAB,DIVI'S LABORATORIES,PHARMA,3.21,286.44,3964.01,2025-12-31
119552,TATAMOTOR,TATA MOTORS LTD,AUTOMOBILE,17.88,484.41,4065.77,2025-12-31
119552,MARUTI,MARUTI SUZUKI INDIA LTD,AUTOMOBILE,14.6,1142.07,7620.26,2025-12-31
119552,INFY,INFOSYS LTD,IT,10.55,316.08,7088.71,2025-12-31
119552,CIPLA,CIPLA LTD,PHARMA,10.44,1019.41,7934.38,2025-12-31
119552,ICICIBANK,ICICI BANK LTD,BANKING,10.19,1006.69,4142.59,2025-12-31
119552,DIVISLAB,DIVI'S LABORATORIES,PHARMA,7.39,208.3,1889.75,2025-12-31
119552,DRREDDY,DR. REDDY'S LABORATORIES,PHARMA,6.25,316.84,5910.04,2025-12-31
119552,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES,PHARMA,6.14,1136.79,6386.95,2025-12-31
119552,BAJFINANCE,BAJAJ FINANCE LTD,NBFC,5.86,1103.07,2693.54,2025-12-31
119552,POWERGRID,POWER GRID CORPORATION,UTILITIES,5.52,669.58,3434.04,2025-12-31
119552,ULTRACEMCO,ULTRATECH CEMENT LTD,CEMENT,5.19,780.54,927.58,2025-12-31
119598,RELIANCE,RELIANCE INDUSTRIES LTD,ENERGY,16.5,321.12,315.19,2025-12-31
119598,INFY,INFOSYS LTD,IT,15.16,1210.68,7724.16,2025-12-31
119598,WIPRO,WIPRO LTD,IT,13.66,869.0,3504.41,2025-12-31
119598,AXISBANK,AXIS BANK LTD,BANKING,10.96,1665.15,2235.83,2025-12-31
119598,M&M,MAHINDRA & MAHINDRA LTD,AUTOMOBILE,8.18,1492.26,660.82,2025-12-31
119598,POWERGRID,POWER GRID CORPORATION,UTILITIES,7.19,751.31,1707.64,2025-12-31
119598,GRASIM,GRASIM INDUSTRIES LTD,DIVERSIFIED,7.14,132.34,4515.26,2025-12-31
119598,NTPC,NTPC LTD,UTILITIES,5.59,1927.98,7369.33,2025-12-31
119598,ULTRACEMCO,ULTRATECH CEMENT LTD,CEMENT,5.32,1392.64,7901.22,2025-12-31
119598,TATAMOTOR,TATA MOTORS LTD,AUTOMOBILE,3.71,1751.14,5299.51,2025-12-31
119598,KOTAKBANK,KOTAK MAHINDRA BANK,BANKING,3.56,682.95,2504.73,2025-12-31
119598,TCS,TATA CONSULTANCY SERVICES,IT,3.02,988.24,2581.1,2025-12-31
119599,GRASIM,GRASIM INDUSTRIES LTD,DIVERSIFIED,28.25,1461.32,1872.83,2025-12-31
119599,ICICIBANK,ICICI BANK LTD,BANKING,18.56,1254.17,3482.69,2025-12-31
119599,INDUSINDBK,INDUSIND BANK LTD,BANKING,15.52,825.04,5180.82,2025-12-31
119599,RELIANCE,RELIANCE INDUSTRIES LTD,ENERGY,13.47,1487.95,4137.4,2025-12-31
119599,TITAN,TITAN COMPANY LTD,CONSUMER GOODS,10.69,1644.24,7387.94,2025-12-31
119599,TATAMOTOR,TATA MOTORS LTD,AUTOMOBILE,6.74,926.23,7738.2,2025-12-31
119599,HINDUNILVR,HINDUSTAN UNILEVER LTD,FMCG,3.53,1123.22,5235.31,2025-12-31
119599,DRREDDY,DR. REDDY'S LABORATORIES,PHARMA,3.24,1716.42,1982.11,2025-12-31
120503,NESTLEIND,NESTLE INDIA LTD,FMCG,20.69,1320.03,5881.86,2025-12-31
120503,TITAN,TITAN COMPANY LTD,CONSUMER GOODS,15.92,723.14,4111.6,2025-12-31
120503,GRASIM,GRASIM INDUSTRIES LTD,DIVERSIFIED,15.87,994.44,897.71,2025-12-31
120503,BHARTIARTL,BHARTI AIRTEL LTD,TELECOM,12.38,1672.96,4357.85,2025-12-31
120503,M&M,MAHINDRA & MAHINDRA LTD,AUTOMOBILE,10.22,1840.52,3918.12,2025-12-31
120503,HINDUNILVR,HINDUSTAN UNILEVER LTD,FMCG,9.98,1137.55,5673.15,2025-12-31
120503,RELIANCE,RELIANCE INDUSTRIES LTD,ENERGY,9.26,1189.39,643.27,2025-12-31
120503,INFY,INFOSYS LTD,IT,5.68,746.26,7776.51,2025-12-31
120504,POWERGRID,POWER GRID CORPORATION,UTILITIES,17.37,1715.09,4875.9,2025-12-31
120504,KOTAKBANK,KOTAK MAHINDRA BANK,BANKING,14.52,1784.84,6042.94,2025-12-31
120504,AXISBANK,AXIS BANK LTD,BANKING,13.17,1179.97,3761.76,2025-12-31
120504,BAJFINANCE,BAJAJ FINANCE LTD,NBFC,9.17,168.11,246.78,2025-12-31
120504,NTPC,NTPC LTD,UTILITIES,8.76,675.97,2243.21,2025-12-31
120504,ICICIBANK,ICICI BANK LTD,BANKING,7.92,1664.45,4329.15,2025-12-31
120504,ADANIPORT,ADANI PORTS & SEZ LTD,INFRASTRUCTURE,7.15,1433.51,3674.34,2025-12-31
120504,ULTRACEMCO,ULTRATECH CEMENT LTD,CEMENT,7.07,1236.71,1131.45,2025-12-31
120504,BHARTIARTL,BHARTI AIRTEL LTD,TELECOM,5.92,1250.03,5095.49,2025-12-31
120504,TATAMOTOR,TATA MOTORS LTD,AUTOMOBILE,5.15,723.84,1687.26,2025-12-31
120504,NESTLEIND,NESTLE INDIA LTD,FMCG,3.81,1011.98,5761.32,2025-12-31
120505,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES,PHARMA,23.46,598.91,6868.09,2025-12-31
120505,TATAMOTOR,TATA MOTORS LTD,AUTOMOBILE,17.66,1067.82,6627.79,2025-12-31
120505,CIPLA,CIPLA LTD,PHARMA,17.29,55.74,3002.79,2025-12-31
120505,NTPC,NTPC LTD,UTILITIES,15.41,1542.02,3231.58,2025-12-31
120505,KOTAKBANK,KOTAK MAHINDRA BANK,BANKING,8.0,419.93,1215.8,2025-12-31
120505,ADANIPORT,ADANI PORTS & SEZ LTD,INFRASTRUCTURE,7.25,312.23,520.75,2025-12-31
120505,ASIANPAINT,ASIAN PAINTS LTD,PAINTS,5.99,286.97,5145.8,2025-12-31
120505,NESTLEIND,NESTLE INDIA LTD,FMCG,4.96,585.69,5061.02,2025-12-31
120506,KOTAKBANK,KOTAK MAHINDRA BANK,BANKING,21.47,1709.46,1499.37,2025-12-31
120506,LT,LARSEN & TOUBRO LTD,INFRASTRUCTURE,20.94,1413.66,4390.56,2025-12-31
120506,ULTRACEMCO,ULTRATECH CEMENT LTD,CEMENT,18.4,844.83,1002.08,2025-12-31
120506,ADANIPORT,ADANI PORTS & SEZ LTD,INFRASTRUCTURE,9.39,1123.73,5520.27,2025-12-31
120506,ICICIBANK,ICICI BANK LTD,BANKING,8.93,274.26,4061.08,2025-12-31
120506,BAJFINANCE,BAJAJ FINANCE LTD,NBFC,7.84,1369.31,4557.66,2025-12-31
120506,HINDUNILVR,HINDUSTAN UNILEVER LTD,FMCG,6.98,1436.98,7015.53,2025-12-31
120506,HCLTECH,HCL TECHNOLOGIES LTD,IT,4.34,1142.6,5665.46,2025-12-31
120506,RELIANCE,RELIANCE INDUSTRIES LTD,ENERGY,1.73,551.04,2246.21,2025-12-31
120841,INDUSINDBK,INDUSIND BANK LTD,BANKING,22.44,1315.89,4881.46,2025-12-31
120841,DIVISLAB,DIVI'S LABORATORIES,PHARMA,20.34,1740.32,1130.72,2025-12-31
120841,NTPC,NTPC LTD,UTILITIES,18.4,1521.12,3894.14,2025-12-31
120841,RELIANCE,RELIANCE INDUSTRIES LTD,ENERGY,9.48,1903.14,5923.09,2025-12-31
120841,DRREDDY,DR. REDDY'S LABORATORIES,PHARMA,7.12,1874.06,6342.27,2025-12-31
120841,POWERGRID,POWER GRID CORPORATION,UTILITIES,5.39,1416.64,3952.67,2025-12-31
120841,NESTLEIND,NESTLE INDIA LTD,FMCG,4.74,1070.67,6351.14,2025-12-31
120841,TATAMOTOR,TATA MOTORS LTD,AUTOMOBILE,4.27,1455.31,5157.09,2025-12-31
120841,GRASIM,GRASIM INDUSTRIES LTD,DIVERSIFIED,3.95,948.58,7250.24,2025-12-31
120841,SBIN,STATE BANK OF INDIA,BANKING,3.88,418.09,6173.2,2025-12-31
120842,TATAMOTOR,TATA MOTORS LTD,AUTOMOBILE,19.5,1157.32,5915.73,2025-12-31
120842,AXISBANK,AXIS BANK LTD,BANKING,18.15,1100.59,2348.89,2025-12-31
120842,HINDUNILVR,HINDUSTAN UNILEVER LTD,FMCG,13.09,1753.06,4666.99,2025-12-31
120842,BAJFINANCE,BAJAJ FINANCE LTD,NBFC,11.62,776.8,883.52,2025-12-31
120842,HCLTECH,HCL TECHNOLOGIES LTD,IT,8.98,1247.9,616.92,2025-12-31
120842,GRASIM,GRASIM INDUSTRIES LTD,DIVERSIFIED,7.27,686.57,4794.76,2025-12-31
120842,M&M,MAHINDRA & MAHINDRA LTD,AUTOMOBILE,7.16,1561.91,2078.2,2025-12-31
120842,ASIANPAINT,ASIAN PAINTS LTD,PAINTS,6.77,1444.86,3083.92,2025-12-31
120842,WIPRO,WIPRO LTD,IT,3.73,1199.27,5242.17,2025-12-31
120842,DIVISLAB,DIVI'S LABORATORIES,PHARMA,3.72,383.65,7603.38,2025-12-31
120843,NTPC,NTPC LTD,UTILITIES,19.94,1082.39,5570.96,2025-12-31
120843,NESTLEIND,NESTLE INDIA LTD,FMCG,16.74,1553.91,6596.12,2025-12-31
120843,GRASIM,GRASIM INDUSTRIES LTD,DIVERSIFIED,15.39,1534.27,5130.67,2025-12-31
120843,BHARTIARTL,BHARTI AIRTEL LTD,TELECOM,9.96,1051.97,5621.65,2025-12-31
120843,TATAMOTOR,TATA MOTORS LTD,AUTOMOBILE,9.59,937.82,6523.7,2025-12-31
120843,AXISBANK,AXIS BANK LTD,BANKING,8.66,1091.16,4347.82,2025-12-31
120843,INFY,INFOSYS LTD,IT,6.43,1827.52,6429.58,2025-12-31
120843,WIPRO,WIPRO LTD,IT,5.85,208.7,3745.54,2025-12-31
120843,ASIANPAINT,ASIAN PAINTS LTD,PAINTS,4.89,1039.97,5342.74,2025-12-31
120843,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES,PHARMA,2.55,803.14,5215.02,2025-12-31
125497,GRASIM,GRASIM INDUSTRIES LTD,DIVERSIFIED,19.04,817.9,1083.31,2025-12-31
125497,INFY,INFOSYS LTD,IT,14.89,1542.92,7905.86,2025-12-31
125497,NTPC,NTPC LTD,UTILITIES,14.65,985.86,341.2,2025-12-31
125497,TITAN,TITAN COMPANY LTD,CONSUMER GOODS,12.53,422.11,2280.96,2025-12-31
125497,WIPRO,WIPRO LTD,IT,12.03,1652.67,1030.72,2025-12-31
125497,NESTLEIND,NESTLE INDIA LTD,FMCG,11.81,127.73,1212.79,2025-12-31
125497,BAJFINANCE,BAJAJ FINANCE LTD,NBFC,10.03,115.8,7583.81,2025-12-31
125497,ULTRACEMCO,ULTRATECH CEMENT LTD,CEMENT,5.02,1316.71,4748.8,2025-12-31
125498,HDFCBANK,HDFC BANK LTD,BANKING,22.83,1274.05,3962.89,2025-12-31
125498,TITAN,TITAN COMPANY LTD,CONSUMER GOODS,20.91,1577.15,7496.9,2025-12-31
125498,HCLTECH,HCL TECHNOLOGIES LTD,IT,14.53,960.23,5902.74,2025-12-31
125498,SBIN,STATE BANK OF INDIA,BANKING,9.4,390.87,4339.96,2025-12-31
125498,LT,LARSEN & TOUBRO LTD,INFRASTRUCTURE,9.17,1748.94,7328.02,2025-12-31
125498,ICICIBANK,ICICI BANK LTD,BANKING,8.97,564.07,2425.12,2025-12-31
125498,HINDUNILVR,HINDUSTAN UNILEVER LTD,FMCG,7.8,1897.59,6636.11,2025-12-31
125498,MARUTI,MARUTI SUZUKI INDIA LTD,AUTOMOBILE,6.39,448.66,3097.29,2025-12-31
148567,GRASIM,GRASIM INDUSTRIES LTD,DIVERSIFIED,22.93,1076.44,247.69,2025-12-31
148567,ASIANPAINT,ASIAN PAINTS LTD,PAINTS,12.63,1916.78,4502.46,2025-12-31
